,Date,Hour,Period,Passengers,TMax,TMin,Rain
0,2018-07-01,6,45,1.0,22.4,15.1,0.0
1,2018-07-01,7,15,1.0,22.4,15.1,0.0
2,2018-07-01,7,30,2.0,22.4,15.1,0.0
3,2018-07-01,7,45,3.0,22.4,15.1,0.0
4,2018-07-01,8,15,5.0,22.4,15.1,0.0
5,2018-07-01,8,30,8.0,22.4,15.1,0.0
6,2018-07-01,8,45,1.0,22.4,15.1,0.0
7,2018-07-01,9,15,3.0,22.4,15.1,0.0
8,2018-07-01,9,30,4.0,22.4,15.1,0.0
9,2018-07-01,9,45,1.0,22.4,15.1,0.0
10,2018-07-01,10,0,4.0,22.4,15.1,0.0
11,2018-07-01,10,15,2.0,22.4,15.1,0.0
12,2018-07-01,10,30,3.0,22.4,15.1,0.0
13,2018-07-01,11,0,3.0,22.4,15.1,0.0
14,2018-07-01,11,15,4.0,22.4,15.1,0.0
15,2018-07-01,11,30,6.0,22.4,15.1,0.0
16,2018-07-01,12,0,10.0,22.4,15.1,0.0
17,2018-07-01,12,30,5.0,22.4,15.1,0.0
18,2018-07-01,12,45,4.0,22.4,15.1,0.0
19,2018-07-01,13,15,10.0,22.4,15.1,0.0
20,2018-07-01,13,30,12.0,22.4,15.1,0.0
21,2018-07-01,13,45,15.0,22.4,15.1,0.0
22,2018-07-01,14,15,9.0,22.4,15.1,0.0
23,2018-07-01,14,30,5.0,22.4,15.1,0.0
24,2018-07-01,14,45,5.0,22.4,15.1,0.0
25,2018-07-01,15,15,4.0,22.4,15.1,0.0
26,2018-07-01,15,30,13.0,22.4,15.1,0.0
27,2018-07-01,15,45,6.0,22.4,15.1,0.0
28,2018-07-01,16,15,3.0,22.4,15.1,0.0
29,2018-07-01,16,30,27.0,22.4,15.1,0.0
30,2018-07-01,16,45,1.0,22.4,15.1,0.0
31,2018-07-01,17,0,6.0,22.4,15.1,0.0
32,2018-07-01,17,15,9.0,22.4,15.1,0.0
33,2018-07-01,17,30,18.0,22.4,15.1,0.0
34,2018-07-01,17,45,1.0,22.4,15.1,0.0
35,2018-07-01,18,0,7.0,22.4,15.1,0.0
36,2018-07-01,18,15,19.0,22.4,15.1,0.0
37,2018-07-01,18,30,11.0,22.4,15.1,0.0
38,2018-07-01,18,45,5.0,22.4,15.1,0.0
39,2018-07-01,19,0,6.0,22.4,15.1,0.0
40,2018-07-01,19,15,6.0,22.4,15.1,0.0
339,2018-07-07,7,15,2.0,24.9,18.2,2.6
340,2018-07-07,7,45,2.0,24.9,18.2,2.6
341,2018-07-07,8,0,4.0,24.9,18.2,2.6
342,2018-07-07,8,15,6.0,24.9,18.2,2.6
343,2018-07-07,8,45,4.0,24.9,18.2,2.6
344,2018-07-07,9,0,5.0,24.9,18.2,2.6
345,2018-07-07,9,15,4.0,24.9,18.2,2.6
346,2018-07-07,9,30,4.0,24.9,18.2,2.6
347,2018-07-07,10,0,4.0,24.9,18.2,2.6
348,2018-07-07,10,15,4.0,24.9,18.2,2.6
349,2018-07-07,10,30,7.0,24.9,18.2,2.6
350,2018-07-07,10,45,6.0,24.9,18.2,2.6
351,2018-07-07,11,0,5.0,24.9,18.2,2.6
352,2018-07-07,11,30,11.0,24.9,18.2,2.6
353,2018-07-07,11,45,8.0,24.9,18.2,2.6
354,2018-07-07,12,0,8.0,24.9,18.2,2.6
355,2018-07-07,12,15,2.0,24.9,18.2,2.6
356,2018-07-07,12,30,24.0,24.9,18.2,2.6
357,2018-07-07,12,45,7.0,24.9,18.2,2.6
358,2018-07-07,13,0,31.0,24.9,18.2,2.6
359,2018-07-07,13,15,12.0,24.9,18.2,2.6
360,2018-07-07,13,30,3.0,24.9,18.2,2.6
361,2018-07-07,13,45,15.0,24.9,18.2,2.6
362,2018-07-07,14,0,50.0,24.9,18.2,2.6
363,2018-07-07,14,15,27.0,24.9,18.2,2.6
364,2018-07-07,14,30,7.0,24.9,18.2,2.6
365,2018-07-07,14,45,12.0,24.9,18.2,2.6
366,2018-07-07,15,15,27.0,24.9,18.2,2.6
367,2018-07-07,15,30,8.0,24.9,18.2,2.6
368,2018-07-07,15,45,15.0,24.9,18.2,2.6
369,2018-07-07,16,0,9.0,24.9,18.2,2.6
370,2018-07-07,16,15,2.0,24.9,18.2,2.6
371,2018-07-07,16,30,17.0,24.9,18.2,2.6
372,2018-07-07,16,45,5.0,24.9,18.2,2.6
373,2018-07-07,17,0,3.0,24.9,18.2,2.6
374,2018-07-07,17,15,35.0,24.9,18.2,2.6
375,2018-07-07,17,30,9.0,24.9,18.2,2.6
376,2018-07-07,17,45,9.0,24.9,18.2,2.6
377,2018-07-07,18,0,16.0,24.9,18.2,2.6
378,2018-07-07,18,30,31.0,24.9,18.2,2.6
379,2018-07-07,18,45,10.0,24.9,18.2,2.6
380,2018-07-07,19,0,6.0,24.9,18.2,2.6
381,2018-07-07,19,15,1.0,24.9,18.2,2.6
382,2018-07-08,7,15,3.0,20.4,9.7,0.2
383,2018-07-08,7,45,3.0,20.4,9.7,0.2
384,2018-07-08,8,0,5.0,20.4,9.7,0.2
385,2018-07-08,9,0,5.0,20.4,9.7,0.2
386,2018-07-08,9,15,7.0,20.4,9.7,0.2
387,2018-07-08,9,45,4.0,20.4,9.7,0.2
388,2018-07-08,10,0,3.0,20.4,9.7,0.2
389,2018-07-08,10,30,11.0,20.4,9.7,0.2
390,2018-07-08,10,45,7.0,20.4,9.7,0.2
391,2018-07-08,11,0,1.0,20.4,9.7,0.2
392,2018-07-08,11,15,4.0,20.4,9.7,0.2
393,2018-07-08,11,30,2.0,20.4,9.7,0.2
394,2018-07-08,11,45,12.0,20.4,9.7,0.2
395,2018-07-08,12,0,7.0,20.4,9.7,0.2
396,2018-07-08,12,15,11.0,20.4,9.7,0.2
397,2018-07-08,12,30,12.0,20.4,9.7,0.2
398,2018-07-08,12,45,7.0,20.4,9.7,0.2
399,2018-07-08,13,0,9.0,20.4,9.7,0.2
400,2018-07-08,13,15,3.0,20.4,9.7,0.2
401,2018-07-08,13,45,11.0,20.4,9.7,0.2
402,2018-07-08,14,0,8.0,20.4,9.7,0.2
403,2018-07-08,14,15,7.0,20.4,9.7,0.2
404,2018-07-08,14,30,3.0,20.4,9.7,0.2
405,2018-07-08,14,45,7.0,20.4,9.7,0.2
406,2018-07-08,15,0,9.0,20.4,9.7,0.2
407,2018-07-08,15,30,13.0,20.4,9.7,0.2
408,2018-07-08,15,45,8.0,20.4,9.7,0.2
409,2018-07-08,16,15,10.0,20.4,9.7,0.2
410,2018-07-08,16,30,5.0,20.4,9.7,0.2
411,2018-07-08,17,0,9.0,20.4,9.7,0.2
412,2018-07-08,17,15,24.0,20.4,9.7,0.2
413,2018-07-08,17,30,13.0,20.4,9.7,0.2
414,2018-07-08,17,45,1.0,20.4,9.7,0.2
415,2018-07-08,18,0,6.0,20.4,9.7,0.2
416,2018-07-08,18,15,10.0,20.4,9.7,0.2
417,2018-07-08,18,30,12.0,20.4,9.7,0.2
418,2018-07-08,19,0,7.0,20.4,9.7,0.2
419,2018-07-08,19,15,6.0,20.4,9.7,0.2
727,2018-07-14,7,0,2.0,21.0,6.7,0.0
728,2018-07-14,7,30,3.0,21.0,6.7,0.0
729,2018-07-14,8,0,2.0,21.0,6.7,0.0
730,2018-07-14,8,15,5.0,21.0,6.7,0.0
731,2018-07-14,8,30,2.0,21.0,6.7,0.0
732,2018-07-14,8,45,1.0,21.0,6.7,0.0
733,2018-07-14,9,0,6.0,21.0,6.7,0.0
734,2018-07-14,9,15,1.0,21.0,6.7,0.0
735,2018-07-14,9,30,5.0,21.0,6.7,0.0
736,2018-07-14,9,45,1.0,21.0,6.7,0.0
737,2018-07-14,10,0,6.0,21.0,6.7,0.0
738,2018-07-14,10,15,7.0,21.0,6.7,0.0
739,2018-07-14,10,45,8.0,21.0,6.7,0.0
740,2018-07-14,11,0,7.0,21.0,6.7,0.0
741,2018-07-14,11,30,28.0,21.0,6.7,0.0
742,2018-07-14,11,45,1.0,21.0,6.7,0.0
743,2018-07-14,12,0,7.0,21.0,6.7,0.0
744,2018-07-14,12,15,10.0,21.0,6.7,0.0
745,2018-07-14,12,45,13.0,21.0,6.7,0.0
746,2018-07-14,13,0,8.0,21.0,6.7,0.0
747,2018-07-14,13,15,14.0,21.0,6.7,0.0
748,2018-07-14,13,45,20.0,21.0,6.7,0.0
749,2018-07-14,14,15,20.0,21.0,6.7,0.0
750,2018-07-14,14,30,20.0,21.0,6.7,0.0
751,2018-07-14,15,0,14.0,21.0,6.7,0.0
752,2018-07-14,15,15,40.0,21.0,6.7,0.0
753,2018-07-14,15,30,1.0,21.0,6.7,0.0
754,2018-07-14,15,45,9.0,21.0,6.7,0.0
755,2018-07-14,16,0,9.0,21.0,6.7,0.0
756,2018-07-14,16,15,13.0,21.0,6.7,0.0
757,2018-07-14,16,30,15.0,21.0,6.7,0.0
758,2018-07-14,16,45,12.0,21.0,6.7,0.0
759,2018-07-14,17,0,5.0,21.0,6.7,0.0
760,2018-07-14,17,15,19.0,21.0,6.7,0.0
761,2018-07-14,17,30,11.0,21.0,6.7,0.0
762,2018-07-14,17,45,6.0,21.0,6.7,0.0
763,2018-07-14,18,0,4.0,21.0,6.7,0.0
764,2018-07-14,18,15,17.0,21.0,6.7,0.0
765,2018-07-14,18,30,9.0,21.0,6.7,0.0
766,2018-07-14,18,45,1.0,21.0,6.7,0.0
767,2018-07-14,19,0,17.0,21.0,6.7,0.0
768,2018-07-15,7,0,1.0,21.6,5.2,0.0
769,2018-07-15,7,15,3.0,21.6,5.2,0.0
770,2018-07-15,8,0,1.0,21.6,5.2,0.0
771,2018-07-15,8,15,2.0,21.6,5.2,0.0
772,2018-07-15,8,30,1.0,21.6,5.2,0.0
773,2018-07-15,9,0,2.0,21.6,5.2,0.0
774,2018-07-15,9,15,2.0,21.6,5.2,0.0
775,2018-07-15,9,30,5.0,21.6,5.2,0.0
776,2018-07-15,9,45,1.0,21.6,5.2,0.0
777,2018-07-15,10,0,4.0,21.6,5.2,0.0
778,2018-07-15,10,15,4.0,21.6,5.2,0.0
779,2018-07-15,10,30,7.0,21.6,5.2,0.0
780,2018-07-15,10,45,2.0,21.6,5.2,0.0
781,2018-07-15,11,15,3.0,21.6,5.2,0.0
782,2018-07-15,11,30,19.0,21.6,5.2,0.0
783,2018-07-15,11,45,8.0,21.6,5.2,0.0
784,2018-07-15,12,15,6.0,21.6,5.2,0.0
785,2018-07-15,12,30,21.0,21.6,5.2,0.0
786,2018-07-15,12,45,19.0,21.6,5.2,0.0
787,2018-07-15,13,15,18.0,21.6,5.2,0.0
788,2018-07-15,13,30,10.0,21.6,5.2,0.0
789,2018-07-15,13,45,15.0,21.6,5.2,0.0
790,2018-07-15,14,15,34.0,21.6,5.2,0.0
791,2018-07-15,14,45,24.0,21.6,5.2,0.0
792,2018-07-15,15,0,12.0,21.6,5.2,0.0
793,2018-07-15,15,30,4.0,21.6,5.2,0.0
794,2018-07-15,15,45,19.0,21.6,5.2,0.0
795,2018-07-15,16,0,18.0,21.6,5.2,0.0
796,2018-07-15,16,30,8.0,21.6,5.2,0.0
797,2018-07-15,16,45,18.0,21.6,5.2,0.0
798,2018-07-15,17,0,14.0,21.6,5.2,0.0
799,2018-07-15,17,30,18.0,21.6,5.2,0.0
800,2018-07-15,17,45,18.0,21.6,5.2,0.0
801,2018-07-15,18,0,4.0,21.6,5.2,0.0
802,2018-07-15,18,30,17.0,21.6,5.2,0.0
803,2018-07-15,18,45,5.0,21.6,5.2,0.0
804,2018-07-15,19,0,24.0,21.6,5.2,0.0
805,2018-07-15,19,15,4.0,21.6,5.2,0.0
1111,2018-07-21,7,0,5.0,20.2,9.8,0.0
1112,2018-07-21,7,15,6.0,20.2,9.8,0.0
1113,2018-07-21,7,45,9.0,20.2,9.8,0.0
1114,2018-07-21,8,0,4.0,20.2,9.8,0.0
1115,2018-07-21,8,15,14.0,20.2,9.8,0.0
1116,2018-07-21,8,45,6.0,20.2,9.8,0.0
1117,2018-07-21,9,0,10.0,20.2,9.8,0.0
1118,2018-07-21,9,15,12.0,20.2,9.8,0.0
1119,2018-07-21,9,30,3.0,20.2,9.8,0.0
1120,2018-07-21,9,45,2.0,20.2,9.8,0.0
1121,2018-07-21,10,0,5.0,20.2,9.8,0.0
1122,2018-07-21,10,15,5.0,20.2,9.8,0.0
1123,2018-07-21,10,30,8.0,20.2,9.8,0.0
1124,2018-07-21,10,45,12.0,20.2,9.8,0.0
1125,2018-07-21,11,0,13.0,20.2,9.8,0.0
1126,2018-07-21,11,30,24.0,20.2,9.8,0.0
1127,2018-07-21,12,0,21.0,20.2,9.8,0.0
1128,2018-07-21,12,15,12.0,20.2,9.8,0.0
1129,2018-07-21,12,30,34.0,20.2,9.8,0.0
1130,2018-07-21,12,45,16.0,20.2,9.8,0.0
1131,2018-07-21,13,0,7.0,20.2,9.8,0.0
1132,2018-07-21,13,15,28.0,20.2,9.8,0.0
1133,2018-07-21,13,30,3.0,20.2,9.8,0.0
1134,2018-07-21,13,45,24.0,20.2,9.8,0.0
1135,2018-07-21,14,0,16.0,20.2,9.8,0.0
1136,2018-07-21,14,15,19.0,20.2,9.8,0.0
1137,2018-07-21,14,30,16.0,20.2,9.8,0.0
1138,2018-07-21,15,0,24.0,20.2,9.8,0.0
1139,2018-07-21,15,15,18.0,20.2,9.8,0.0
1140,2018-07-21,15,45,14.0,20.2,9.8,0.0
1141,2018-07-21,16,0,20.0,20.2,9.8,0.0
1142,2018-07-21,16,15,18.0,20.2,9.8,0.0
1143,2018-07-21,16,30,15.0,20.2,9.8,0.0
1144,2018-07-21,16,45,14.0,20.2,9.8,0.0
1145,2018-07-21,17,0,36.0,20.2,9.8,0.0
1146,2018-07-21,17,15,1.0,20.2,9.8,0.0
1147,2018-07-21,17,30,47.0,20.2,9.8,0.0
1148,2018-07-21,17,45,2.0,20.2,9.8,0.0
1149,2018-07-21,18,0,65.0,20.2,9.8,0.0
1150,2018-07-21,18,15,17.0,20.2,9.8,0.0
1151,2018-07-21,18,30,38.0,20.2,9.8,0.0
1152,2018-07-21,18,45,2.0,20.2,9.8,0.0
1153,2018-07-21,19,0,22.0,20.2,9.8,0.0
1154,2018-07-22,7,30,3.0,20.7,7.8,0.0
1155,2018-07-22,8,0,2.0,20.7,7.8,0.0
1156,2018-07-22,8,45,4.0,20.7,7.8,0.0
1157,2018-07-22,9,0,5.0,20.7,7.8,0.0
1158,2018-07-22,9,30,12.0,20.7,7.8,0.0
1159,2018-07-22,9,45,10.0,20.7,7.8,0.0
1160,2018-07-22,10,0,1.0,20.7,7.8,0.0
1161,2018-07-22,10,30,4.0,20.7,7.8,0.0
1162,2018-07-22,10,45,6.0,20.7,7.8,0.0
1163,2018-07-22,11,0,8.0,20.7,7.8,0.0
1164,2018-07-22,11,15,4.0,20.7,7.8,0.0
1165,2018-07-22,11,30,12.0,20.7,7.8,0.0
1166,2018-07-22,11,45,24.0,20.7,7.8,0.0
1167,2018-07-22,12,0,2.0,20.7,7.8,0.0
1168,2018-07-22,12,30,12.0,20.7,7.8,0.0
1169,2018-07-22,12,45,16.0,20.7,7.8,0.0
1170,2018-07-22,13,0,8.0,20.7,7.8,0.0
1171,2018-07-22,13,30,12.0,20.7,7.8,0.0
1172,2018-07-22,13,45,28.0,20.7,7.8,0.0
1173,2018-07-22,14,15,7.0,20.7,7.8,0.0
1174,2018-07-22,14,30,4.0,20.7,7.8,0.0
1175,2018-07-22,14,45,23.0,20.7,7.8,0.0
1176,2018-07-22,15,30,22.0,20.7,7.8,0.0
1177,2018-07-22,15,45,14.0,20.7,7.8,0.0
1178,2018-07-22,16,0,5.0,20.7,7.8,0.0
1179,2018-07-22,16,15,6.0,20.7,7.8,0.0
1180,2018-07-22,16,30,9.0,20.7,7.8,0.0
1181,2018-07-22,16,45,22.0,20.7,7.8,0.0
1182,2018-07-22,17,0,2.0,20.7,7.8,0.0
1183,2018-07-22,17,15,12.0,20.7,7.8,0.0
1184,2018-07-22,17,30,17.0,20.7,7.8,0.0
1185,2018-07-22,17,45,23.0,20.7,7.8,0.0
1186,2018-07-22,18,0,44.0,20.7,7.8,0.0
1187,2018-07-22,18,15,4.0,20.7,7.8,0.0
1188,2018-07-22,18,30,16.0,20.7,7.8,0.0
1189,2018-07-22,18,45,12.0,20.7,7.8,0.0
1190,2018-07-22,19,0,22.0,20.7,7.8,0.0
8583,2018-12-01,7,0,2.0,33.3,21.6,0.0
8584,2018-12-01,8,0,7.0,33.3,21.6,0.0
8585,2018-12-01,8,15,2.0,33.3,21.6,0.0
8586,2018-12-01,8,45,4.0,33.3,21.6,0.0
8587,2018-12-01,9,0,7.0,33.3,21.6,0.0
8588,2018-12-01,9,30,22.0,33.3,21.6,0.0
8589,2018-12-01,10,0,7.0,33.3,21.6,0.0
8590,2018-12-01,10,15,10.0,33.3,21.6,0.0
8591,2018-12-01,10,30,12.0,33.3,21.6,0.0
8592,2018-12-01,11,0,3.0,33.3,21.6,0.0
8593,2018-12-01,11,15,2.0,33.3,21.6,0.0
8594,2018-12-01,11,30,8.0,33.3,21.6,0.0
8595,2018-12-01,11,45,1.0,33.3,21.6,0.0
8596,2018-12-01,12,0,9.0,33.3,21.6,0.0
8597,2018-12-01,12,15,3.0,33.3,21.6,0.0
8598,2018-12-01,12,30,16.0,33.3,21.6,0.0
8599,2018-12-01,13,0,10.0,33.3,21.6,0.0
8600,2018-12-01,13,15,14.0,33.3,21.6,0.0
8601,2018-12-01,13,30,7.0,33.3,21.6,0.0
8602,2018-12-01,13,45,7.0,33.3,21.6,0.0
8603,2018-12-01,14,0,9.0,33.3,21.6,0.0
8604,2018-12-01,14,30,34.0,33.3,21.6,0.0
8605,2018-12-01,14,45,16.0,33.3,21.6,0.0
8606,2018-12-01,15,0,4.0,33.3,21.6,0.0
8607,2018-12-01,15,15,14.0,33.3,21.6,0.0
8608,2018-12-01,15,30,1.0,33.3,21.6,0.0
8609,2018-12-01,15,45,13.0,33.3,21.6,0.0
8610,2018-12-01,16,0,35.0,33.3,21.6,0.0
8611,2018-12-01,16,15,1.0,33.3,21.6,0.0
8612,2018-12-01,16,30,19.0,33.3,21.6,0.0
8613,2018-12-01,16,45,12.0,33.3,21.6,0.0
8614,2018-12-01,17,0,20.0,33.3,21.6,0.0
8615,2018-12-01,17,30,8.0,33.3,21.6,0.0
8616,2018-12-01,17,45,3.0,33.3,21.6,0.0
8617,2018-12-01,18,0,17.0,33.3,21.6,0.0
8618,2018-12-01,18,15,22.0,33.3,21.6,0.0
8619,2018-12-01,18,30,22.0,33.3,21.6,0.0
8620,2018-12-01,18,45,3.0,33.3,21.6,0.0
8621,2018-12-01,19,0,19.0,33.3,21.6,0.0
8622,2018-12-01,19,15,1.0,33.3,21.6,0.0
8623,2018-12-02,7,0,2.0,34.7,22.5,0.0
8624,2018-12-02,7,45,1.0,34.7,22.5,0.0
8625,2018-12-02,8,0,2.0,34.7,22.5,0.0
8626,2018-12-02,8,45,2.0,34.7,22.5,0.0
8627,2018-12-02,9,0,1.0,34.7,22.5,0.0
8628,2018-12-02,9,15,2.0,34.7,22.5,0.0
8629,2018-12-02,9,30,2.0,34.7,22.5,0.0
8630,2018-12-02,9,45,6.0,34.7,22.5,0.0
8631,2018-12-02,10,0,1.0,34.7,22.5,0.0
8632,2018-12-02,10,30,1.0,34.7,22.5,0.0
8633,2018-12-02,10,45,2.0,34.7,22.5,0.0
8634,2018-12-02,11,0,5.0,34.7,22.5,0.0
8635,2018-12-02,11,15,3.0,34.7,22.5,0.0
8636,2018-12-02,11,30,1.0,34.7,22.5,0.0
8637,2018-12-02,12,0,10.0,34.7,22.5,0.0
8638,2018-12-02,12,30,7.0,34.7,22.5,0.0
8639,2018-12-02,12,45,5.0,34.7,22.5,0.0
8640,2018-12-02,13,15,9.0,34.7,22.5,0.0
8641,2018-12-02,13,30,26.0,34.7,22.5,0.0
8642,2018-12-02,13,45,9.0,34.7,22.5,0.0
8643,2018-12-02,14,0,14.0,34.7,22.5,0.0
8644,2018-12-02,14,15,8.0,34.7,22.5,0.0
8645,2018-12-02,14,30,7.0,34.7,22.5,0.0
8646,2018-12-02,14,45,5.0,34.7,22.5,0.0
8647,2018-12-02,15,0,1.0,34.7,22.5,0.0
8648,2018-12-02,15,15,6.0,34.7,22.5,0.0
8649,2018-12-02,15,30,3.0,34.7,22.5,0.0
8650,2018-12-02,15,45,5.0,34.7,22.5,0.0
